,predicted,observed,box
0,64,38,3
1,64,38,5
2,64,38,8
3,64,38,11
4,64,38,12
5,64,38,1
6,150,117,1
7,216,150,1
8,159,173,1
9,98,80,1
10,114,83,2
11,80,11,2
12,30,24,2
13,62,31,2
14,174,170,2
15,134,108,2
16,100,2,4
17,20,4,4
18,129,14,4
19,30,1,4
20,30,2,4
21,40,2,4
22,40,3,4
23,148,2,4
24,213,213,4
25,91,33,4
26,170,8,4
27,38,2,4
28,105,3,4
29,228,2,4
30,46,60,6
31,274,123,6
32,159,130,6
33,85,19,6
34,85,30,6
35,197,128,6
36,219,111,6
37,236,210,6
38,354,171,6
39,196,144,7
40,124,131,7
41,215,135,7
42,224,169,7
43,140,128,7
44,125,81,7
45,42,5,9
46,26,3,9
47,330,391,9
48,63,2,9
49,30,3,9
50,10,2,9
51,210,166,9
52,74,6,9
53,89,96,9
54,569,591,9
55,153,218,9
56,40,34,9
57,144,81,9
58,589,556,9
59,381,321,10
60,139,70,10
61,538,506,13
62,38,29,13
63,56,10,13
64,57,39,13
65,22,17,13
66,160,133,13
67,72,4,13
68,99,15,13
69,13,7,13
70,35,5,13
71,193,128,13
